epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,164567632.0,0.001,164567632.0,116923528.0,116923528.0
1,103712664.0,0.001,103712664.0,122810344.0,122810344.0
2,64704376.0,0.001,64704376.0,47218788.0,47218788.0
3,59756752.0,0.001,59756752.0,50711028.0,50711032.0
4,39713292.0,0.001,39713292.0,34686088.0,34686088.0
5,35261564.0,0.001,35261564.0,49680008.0,49680012.0
6,33086666.0,0.001,33086666.0,31516022.0,31516022.0
7,31199590.0,0.001,31199590.0,26347456.0,26347456.0
8,29327694.0,0.001,29327694.0,29255980.0,29255980.0
9,27618264.0,0.001,27618264.0,27031858.0,27031858.0
10,27398242.0,0.001,27398242.0,31029276.0,31029276.0
11,27701648.0,0.001,27701648.0,29096872.0,29096872.0
12,25441416.0,0.001,25441416.0,32537848.0,32537848.0
13,25761656.0,0.001,25761656.0,24712620.0,24712620.0
14,24938826.0,0.001,24938826.0,23558026.0,23558026.0
15,25151864.0,0.001,25151864.0,23906668.0,23906668.0
16,24598676.0,0.001,24598676.0,22744264.0,22744264.0
17,24450314.0,0.001,24450314.0,24153928.0,24153928.0
18,23552404.0,0.001,23552404.0,22973672.0,22973672.0
19,23369750.0,0.001,23369750.0,23755090.0,23755090.0
20,23456292.0,0.001,23456292.0,25134288.0,25134288.0
21,24331868.0,0.001,24331868.0,40058620.0,40058620.0
22,23620456.0,0.001,23620456.0,27169104.0,27169104.0
23,23693062.0,0.001,23693062.0,24194360.0,24194360.0
24,22909898.0,0.001,22909898.0,32288166.0,32288168.0
25,21452468.0,0.0005,21452468.0,21395028.0,21395028.0
26,21097016.0,0.0005,21097016.0,21598418.0,21598418.0
27,21304876.0,0.0005,21304876.0,21911166.0,21911166.0
28,21150350.0,0.0005,21150350.0,21164506.0,21164506.0
29,21384358.0,0.0005,21384358.0,24766006.0,24766006.0
30,21256296.0,0.0005,21256296.0,22560120.0,22560120.0
31,21373486.0,0.0005,21373486.0,22598218.0,22598216.0
32,21432596.0,0.0005,21432596.0,23220440.0,23220440.0
33,21196818.0,0.0005,21196818.0,21051754.0,21051754.0
34,21042382.0,0.0005,21042382.0,22815126.0,22815126.0
35,20892440.0,0.0005,20892440.0,22735418.0,22735418.0
36,21107688.0,0.0005,21107688.0,22648910.0,22648910.0
37,20902656.0,0.0005,20902656.0,21618430.0,21618430.0
38,21501514.0,0.0005,21501514.0,22096602.0,22096602.0
39,21245496.0,0.0005,21245496.0,21303138.0,21303138.0
40,21424266.0,0.0005,21424266.0,22190810.0,22190810.0
41,21060506.0,0.0005,21060506.0,21784132.0,21784132.0
42,20438482.0,0.00025,20438482.0,22158662.0,22158662.0
43,20321880.0,0.00025,20321880.0,20782892.0,20782892.0
44,20185862.0,0.00025,20185862.0,21095270.0,21095270.0
45,20137720.0,0.00025,20137720.0,21529720.0,21529720.0
46,20407652.0,0.00025,20407652.0,20588158.0,20588158.0
47,20260160.0,0.00025,20260160.0,20710070.0,20710070.0
48,20141570.0,0.00025,20141570.0,21221782.0,21221782.0
49,20087958.0,0.00025,20087958.0,26181654.0,26181654.0
50,20186160.0,0.00025,20186160.0,25505186.0,25505186.0
51,20250124.0,0.00025,20250124.0,20188232.0,20188232.0
52,20054930.0,0.00025,20054930.0,21571464.0,21571464.0
53,20195412.0,0.00025,20195412.0,20391452.0,20391452.0
54,20222744.0,0.00025,20222744.0,20528764.0,20528764.0
55,20319502.0,0.00025,20319502.0,22471060.0,22471060.0
56,19933496.0,0.00025,19933496.0,23154888.0,23154888.0
57,20530906.0,0.00025,20530906.0,20478200.0,20478200.0
58,20208430.0,0.00025,20208430.0,20675026.0,20675026.0
59,20228052.0,0.00025,20228052.0,21268498.0,21268498.0
60,19685444.0,0.000125,19685444.0,20317836.0,20317836.0
61,19738710.0,0.000125,19738710.0,20245168.0,20245168.0
62,19934584.0,0.000125,19934584.0,20281448.0,20281448.0
63,19776744.0,0.000125,19776744.0,20312678.0,20312678.0
64,19879438.0,0.000125,19879438.0,20347478.0,20347478.0
65,19687280.0,0.000125,19687280.0,20339078.0,20339078.0
66,19468724.0,0.000125,19468724.0,20422492.0,20422492.0
